,COMMENT,POSITIVITY,CURRENT_SHOPPER,PURCHASE_CONSIDERATION
0,What. These are so toxic😭,0,0,0
1,Commercials? Really? Come on,0,0,0
2,I hate that litter.,0,0,0
3,Would have been great if he bit you at the end for not making his litter box right.,0,0,0
4,this is literally AWFUL. 3 weeks is wildddd,0,0,0
5,Can I stop seeing this pls,0,0,0
6,"@Beth Anne Brice girl I love you, but the amount of times this ad comes across my fyp, I can’t.",0,0,0
7,WHY CANT I BLOCK THEM,0,0,0
8,I have beef with this god dam add 🙄,0,0,0
9,if i see this ad one more.,0,0,0
10,"Girl the red 40??? 15 years? That is not a flex, thats a hazard #skittles reformulate with organic ingredients plz thx",0,0,0
11,I banned skittles in my home.,0,0,0
12,Isn't this a little off brand? Skittles are toxoic,0,0,0
13,One of the most toxic candies around.,0,0,0
14,"""Skittles are banned in Europe due to both the color dyes and titanium dioxide additive which are harmful to ones health, especially children.""",0,0,0
15,Skittles are toxic,0,0,0
16,Skittles cause cancer,0,0,0
17,The have been banned in other parts of the world and California because they're supposed to be so bad for you,0,0,0
18,Wait but these aren't safe to eat. It got recalled,0,0,0
19,Ya so tasty but the cause cancer,0,0,0
20,Hard to watch,0,0,0
21,These fits were atrocious,0,0,0
22,hell nah,0,0,0
23,brol thats soil,0,0,0
24,aw hell nah,0,0,0
25,WHY,0,0,0
26,tf,0,0,0
27,Ngl that looks 🤢🤮,0,0,0
28,y’all gotta stop with this,0,0,0
29,But why so much plastic?🌎 ♻️,0,0,0
30,I haaaateeee this hahaha but I never got cut!,0,0,0
31,Nahhh bro,0,0,0
32,I thought this was a tik tok ad 😭,0,0,0
33,@laura_parra_kermit I remember a year ago when I gave that razor a review. It was trash,0,0,0
34,don't start shaving I regret it. Wax instead. it hurts a little at first but I promise the pain is less and less worse,0,0,0
35,Until that soap shi get everywhere and breaks😐,0,1,0
36,I had this and I hated this razor 😭,0,1,0
37,thos razors kinda suck ngl,0,0,0
38,"That razor is awful. It made my legs break out it bumps, it gave them razor burn and just BURNED. Any other razor is better",0,1,0
39,Shave is not good,0,0,0
40,i don't shave HAHAHAHAHA,1,0,0
41,Your whole account is about your mom your shit clothes and more of your mom,0,0,0
42,That’s so embarrassing,0,0,0
43,My mom has it and it sucks,0,0,0
44,I’m sorry they seem good but I can not stop focusing on how she shaves against the hair😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,0,0
45,"Ok but real talk, if vitamins smell foul, I’m so turned off 😂",0,0,0
46,My tip is just don’t 😂,0,0,0
47,These don't taste good,0,0,0
48,This is wayyy overpriced,0,0,0
49,i hate these,0,0,0
50,Noooooooooo,0,0,0
51,I’m nobody I guess,0,0,0
52,I watched it when I was 5 and I had a nightmare,0,0,0
53,Noooooooo 😭😭😭😭😭😭😭😭😭😭😭😭😭😡😡,0,0,0
54,"I dont think they're weird and creepy, I just think they're ugly 💀",0,0,0
